OBJECTID,ID_UC0,Name,ID_WCMC2,class,type,gov_level,year_created,GID7,QUALIDAD8,ATO_LEGA9,DT_ULTIM10,CODIGO_U11,NOME_ORG12,Type,GID0,SIGLA1,OBS_AREA2,REV3,EM_REVIS4,CODAREAR5,ADR6,AREAETNO7,POPULANO8,GRUPOS9,UF10,MUNICSPI11,ETAPA12,SITUACAO13,TITULO14,DOCUMENT15,DATADOC16,EXTENSO17,TIPO18,CDOC19,FLUXO20,CODTI21,NOME_ARE22,NOME_TI23,CODAREA24,Near_OpDam_ID,NEAR_DIST_OpDam_m,NEAR_FID,NEAR_DIST
515,,,,,,,,,,,,,,0,287,TI, ,0,0,0,Cuiabi,XVII,0,Kayabi,MT,"Juara, Nova Canaa do Norte, Tabapora",Exame do Min.da JustiNa,Delimitada,Despacho n,Despacho ao MJ para Port Declaratdria,10/18/2007,Principal,1,Desp Del,210,52400,Batelao,Batelao,52401,4,299459.8085,27,71018.77803
466,,,,,,,,,,,,,,0,197,TI, ,0,0,0,Xingu,I,236,Wauru,MT,Ga,Conclu do,Regularizada,Certidao 20,Registro SPU,3/22/1999,Principal,1,Reg SPU,380,6000,Batovi,Batovi,6001,34,284621.3839,47,152893.6053
736,,,,,,,,,,,,,,0,605,TI, ,0,0,0,Manaus,XIII,2085,Tikuna,AM,Amatur,Conclu,Regularizada,Certidao 002,Registro SPU,3/19/1996,Principal,1,Reg SPU,380,6200,Betania,Betania,6201,45,740948.2138,20,630306.9531
349,,,,,,,,,,,,,,0,23,TI, ,0,0,0,Manaus,X,38,Mura,AM,Careiro,Concluodo,Regularizada,Certidao 003,Registro SPU,3/13/2002,Antiga,3,Reg SPU,380,58500,Boa Vista - AM,Boa Vista - AM,58501,0,145293.371,6,145284.7014
639,,,,,,,,,,,,,,0,475,TI,Tr,0,0,0,Manaus,X,38,Mura,AM,Careiro da V rzea,Registro cartorial,Homologada,Decreto de 10 de fevereiro de 2003,Decreto de homologavao publicado,2/10/2003,Principal,1,Dec Hom,340,58500,Boa Vista - AM,Boa Vista - AM,58502,0,143806.204,6,143797.5341
418,,,,,,,,,,,,,,0,138,TI, ,0,0,0,Rio Branco,XIV,121,Apurina,AM,"Boca do Acre, Lrbrea",Concluodo,Regularizada,Certidao 030,Registro SPU,6/15/1999,Principal,1,Reg SPU,380,6400,Boca do Acre,Boca do Acre,6401,23,237377.6272,20,78688.99334
770,,,,,,,,,,,,,,0,690,TI, ,0,0,0,Tabatinga,XIII,120,Tikuna,AM,Benjamin Constant,Concluido,Regularizada,Certidao nd 35,Registro SPU,11/5/2004,Principal,1,Reg SPU,380,6500,Bom Intento,Bom Intento,6501,23,798232.9385,20,643386.2443
335,,,,,,,,,,,,,,0,7,TI, ,0,0,0,Boa Vista,XI,200,Makuxi,RR,Bonfim,Conclu,Regularizada,Certidao 011,Registro SPU,12/2/1996,Principal,1,Reg SPU,380,6600,Bom Jesus,Bom Jesus,6601,0,592617.5283,59,475886.5587
587,,,,,,,,,,,,,,0,390,TI, ,0,0,0,Boa Vista,XI,283,"Makuxi, Wapixana",RR,Alto Alegre,Concluldo,Regularizada,Certidao nd 01,Registro SPU,2/28/2008,Principal,1,Reg SPU,380,6700,Boqueirao,Boqueirao,6701,0,597263.7116,59,483742.961
647,,,,,,,,,,,,,,0,515,TI, ,0,0,0,Itaituba,IV,0,Borari,PA,Santar,Annlise da delimitalao,Em estudo,Relattrio Circunstanciado de Identifica,Relattrio do GT (Antropdlogo Coordenador),12/4/2009,Principal,1,Rel GT,110,51900,Borari de Alter do Chao,Borari de Alter do Chao,51901,3,74202.15664,28,74214.80012
